"Diagnosis (ICD-10)","Sex","Age group","Year","Incidence of psychiatric disorders"
"Disorders of adult personality and behaviour (F60-F69)","Women","20-24","2007",16
"Disorders of adult personality and behaviour (F60-F69)","Women","20-24","2008",17
"Disorders of adult personality and behaviour (F60-F69)","Women","20-24","2009",18
"Disorders of adult personality and behaviour (F60-F69)","Women","20-24","2010",25
"Disorders of adult personality and behaviour (F60-F69)","Women","20-24","2011",19
"Disorders of adult personality and behaviour (F60-F69)","Women","20-24","2012",20
"Disorders of adult personality and behaviour (F60-F69)","Women","20-24","2013",24
"Disorders of adult personality and behaviour (F60-F69)","Women","20-24","2014",21
"Disorders of adult personality and behaviour (F60-F69)","Women","20-24","2015",14
"Disorders of adult personality and behaviour (F60-F69)","Women","20-24","2016",25
"Disorders of adult personality and behaviour (F60-F69)","Women","20-24","2017",17
"Disorders of adult personality and behaviour (F60-F69)","Women","20-24","2018",9
"Disorders of adult personality and behaviour (F60-F69)","Women","20-24","2019",23
"Disorders of adult personality and behaviour (F60-F69)","Women","20-24","2020",9
"Disorders of adult personality and behaviour (F60-F69)","Women","20-24","2021",37
"Disorders of adult personality and behaviour (F60-F69)","Women","20-24","2022",60
"Disorders of adult personality and behaviour (F60-F69)","Women","20-24","2023",63
"Disorders of adult personality and behaviour (F60-F69)","Women","20-24","2024",72
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","1998",19
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","1999",23
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2000",30
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2001",23
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2002",42
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2003",33
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2004",44
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2005",29
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2006",58
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2007",15
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2008",31
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2009",27
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2010",21
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2011",34
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2012",43
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2013",35
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2014",33
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2015",20
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2016",33
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2017",24
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2018",19
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2019",35
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2020",35
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2021",46
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2022",57
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2023",85
"Disorders of adult personality and behaviour (F60-F69)","Women","25-34","2024",61
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","1998",23
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","1999",20
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2000",25
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2001",19
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2002",36
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2003",21
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2004",26
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2005",13
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2006",37
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2007",18
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2008",16
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2009",22
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2010",21
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2011",23
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2012",36
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2013",31
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2014",19
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2015",16
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2016",20
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2017",16
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2018",14
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2019",25
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2020",25
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2021",20
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2022",39
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2023",34
"Disorders of adult personality and behaviour (F60-F69)","Women","35-44","2024",33
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","1998",18
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","1999",15
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2000",13
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2001",12
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2002",16
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2003",17
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2004",19
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2005",21
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2006",37
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2007",22
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2008",30
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2009",23
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2010",35
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2011",15
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2012",10
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2013",27
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2014",27
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2015",12
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2016",18
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2017",19
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2018",16
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2019",25
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2020",11
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2021",18
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2022",31
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2023",15
"Disorders of adult personality and behaviour (F60-F69)","Women","45-54","2024",16
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","1998",3
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","1999",8
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2000",3
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2001",6
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2002",6
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2003",7
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2004",8
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2005",6
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2006",26
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2007",6
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2008",14
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2009",8
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2010",7
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2011",7
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2012",21
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2013",11
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2014",7
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2015",7
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2016",8
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2017",5
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2018",12
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2019",14
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2020",11
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2021",15
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2022",26
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2023",19
"Disorders of adult personality and behaviour (F60-F69)","Women","55-64","2024",14
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","1998",1
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","1999",4
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2000",3
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2001",6
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2002",1
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2003",3
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2004",4
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2005",1
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2006",4
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2007",1
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2008",2
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2009",2
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2010",1
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2011",2
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2012",7
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2013",7
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2014",5
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2015",2
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2016",3
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2017",3
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2018",2
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2019",3
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2020",0
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2021",0
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2022",3
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2023",4
"Disorders of adult personality and behaviour (F60-F69)","Women","65-74","2024",5
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","1998",3
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","1999",0
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2000",2
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2001",4
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2002",0
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2003",1
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2004",1
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2005",0
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2006",2
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2007",2
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2008",10
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2009",0
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2010",0
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2011",0
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2012",0
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2013",0
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2014",2
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2015",1
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2016",1
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2017",1
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2018",1
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2019",2
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2020",3
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2021",0
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2022",3
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2023",1
"Disorders of adult personality and behaviour (F60-F69)","Women","75 and older","2024",2
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","1998",..
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","1999",..
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2000",..
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2001",..
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2002",..
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2003",..
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2004",..
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2005",..
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2006",..
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2007",..
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2008",..
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2009",..
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2010",..
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2011",0
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2012",0
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2013",0
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2014",1
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2015",1
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2016",1
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2017",1
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2018",1
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2019",2
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2020",3
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2021",0
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2022",3
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2023",0
"Disorders of adult personality and behaviour (F60-F69)","Women","75-84","2024",2
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","1998",..
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","1999",..
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2000",..
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2001",..
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2002",..
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2003",..
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2004",..
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2005",..
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2006",..
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2007",..
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2008",..
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2009",..
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2010",..
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2011",0
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2012",0
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2013",0
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2014",1
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2015",0
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2016",0
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2017",0
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2018",0
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2019",0
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2020",0
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2021",0
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2022",0
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2023",1
"Disorders of adult personality and behaviour (F60-F69)","Women","85 and older","2024",0
"Mental retardation (F70-F79)","Men and women","All age groups","1998",842
"Mental retardation (F70-F79)","Men and women","All age groups","1999",843
"Mental retardation (F70-F79)","Men and women","All age groups","2000",929
"Mental retardation (F70-F79)","Men and women","All age groups","2001",904
"Mental retardation (F70-F79)","Men and women","All age groups","2002",842
"Mental retardation (F70-F79)","Men and women","All age groups","2003",890
"Mental retardation (F70-F79)","Men and women","All age groups","2004",585
"Mental retardation (F70-F79)","Men and women","All age groups","2005",543
"Mental retardation (F70-F79)","Men and women","All age groups","2006",625
"Mental retardation (F70-F79)","Men and women","All age groups","2007",542
"Mental retardation (F70-F79)","Men and women","All age groups","2008",542
"Mental retardation (F70-F79)","Men and women","All age groups","2009",475
"Mental retardation (F70-F79)","Men and women","All age groups","2010",566
"Mental retardation (F70-F79)","Men and women","All age groups","2011",624
"Mental retardation (F70-F79)","Men and women","All age groups","2012",641
"Mental retardation (F70-F79)","Men and women","All age groups","2013",672
"Mental retardation (F70-F79)","Men and women","All age groups","2014",598
"Mental retardation (F70-F79)","Men and women","All age groups","2015",482
"Mental retardation (F70-F79)","Men and women","All age groups","2016",431
"Mental retardation (F70-F79)","Men and women","All age groups","2017",431
"Mental retardation (F70-F79)","Men and women","All age groups","2018",410
"Mental retardation (F70-F79)","Men and women","All age groups","2019",455
"Mental retardation (F70-F79)","Men and women","All age groups","2020",557
"Mental retardation (F70-F79)","Men and women","All age groups","2021",606
"Mental retardation (F70-F79)","Men and women","All age groups","2022",678
"Mental retardation (F70-F79)","Men and women","All age groups","2023",528
"Mental retardation (F70-F79)","Men and women","All age groups","2024",576
"Mental retardation (F70-F79)","Men and women","0","1998",0
"Mental retardation (F70-F79)","Men and women","0","1999",0
"Mental retardation (F70-F79)","Men and women","0","2000",1
"Mental retardation (F70-F79)","Men and women","0","2001",0
"Mental retardation (F70-F79)","Men and women","0","2002",1
"Mental retardation (F70-F79)","Men and women","0","2003",0
"Mental retardation (F70-F79)","Men and women","0","2004",1
"Mental retardation (F70-F79)","Men and women","0","2005",0
"Mental retardation (F70-F79)","Men and women","0","2006",0
"Mental retardation (F70-F79)","Men and women","0","2007",0
"Mental retardation (F70-F79)","Men and women","0","2008",0
"Mental retardation (F70-F79)","Men and women","0","2009",0
"Mental retardation (F70-F79)","Men and women","0","2010",0
"Mental retardation (F70-F79)","Men and women","0","2011",0
"Mental retardation (F70-F79)","Men and women","0","2012",0
"Mental retardation (F70-F79)","Men and women","0","2013",0
"Mental retardation (F70-F79)","Men and women","0","2014",0
"Mental retardation (F70-F79)","Men and women","0","2015",0
"Mental retardation (F70-F79)","Men and women","0","2016",0
"Mental retardation (F70-F79)","Men and women","0","2017",0
"Mental retardation (F70-F79)","Men and women","0","2018",0
"Mental retardation (F70-F79)","Men and women","0","2019",0
"Mental retardation (F70-F79)","Men and women","0","2020",0
"Mental retardation (F70-F79)","Men and women","0","2021",0
"Mental retardation (F70-F79)","Men and women","0","2022",0
"Mental retardation (F70-F79)","Men and women","0","2023",0
"Mental retardation (F70-F79)","Men and women","0","2024",0
"Mental retardation (F70-F79)","Men and women","1-4","1998",37
"Mental retardation (F70-F79)","Men and women","1-4","1999",40
"Mental retardation (F70-F79)","Men and women","1-4","2000",39
"Mental retardation (F70-F79)","Men and women","1-4","2001",31
"Mental retardation (F70-F79)","Men and women","1-4","2002",31
"Mental retardation (F70-F79)","Men and women","1-4","2003",29
"Mental retardation (F70-F79)","Men and women","1-4","2004",24
"Mental retardation (F70-F79)","Men and women","1-4","2005",26
"Mental retardation (F70-F79)","Men and women","1-4","2006",37
"Mental retardation (F70-F79)","Men and women","1-4","2007",24
"Mental retardation (F70-F79)","Men and women","1-4","2008",28
"Mental retardation (F70-F79)","Men and women","1-4","2009",10
"Mental retardation (F70-F79)","Men and women","1-4","2010",12
"Mental retardation (F70-F79)","Men and women","1-4","2011",13
"Mental retardation (F70-F79)","Men and women","1-4","2012",11
"Mental retardation (F70-F79)","Men and women","1-4","2013",11
"Mental retardation (F70-F79)","Men and women","1-4","2014",10
"Mental retardation (F70-F79)","Men and women","1-4","2015",4
"Mental retardation (F70-F79)","Men and women","1-4","2016",9
"Mental retardation (F70-F79)","Men and women","1-4","2017",6
"Mental retardation (F70-F79)","Men and women","1-4","2018",5
"Mental retardation (F70-F79)","Men and women","1-4","2019",2
"Mental retardation (F70-F79)","Men and women","1-4","2020",1
"Mental retardation (F70-F79)","Men and women","1-4","2021",5
"Mental retardation (F70-F79)","Men and women","1-4","2022",2
"Mental retardation (F70-F79)","Men and women","1-4","2023",5
"Mental retardation (F70-F79)","Men and women","1-4","2024",5
"Mental retardation (F70-F79)","Men and women","5-9","1998",287
"Mental retardation (F70-F79)","Men and women","5-9","1999",256
"Mental retardation (F70-F79)","Men and women","5-9","2000",217
"Mental retardation (F70-F79)","Men and women","5-9","2001",169
"Mental retardation (F70-F79)","Men and women","5-9","2002",124
"Mental retardation (F70-F79)","Men and women","5-9","2003",166
"Mental retardation (F70-F79)","Men and women","5-9","2004",139
"Mental retardation (F70-F79)","Men and women","5-9","2005",108
"Mental retardation (F70-F79)","Men and women","5-9","2006",161
"Mental retardation (F70-F79)","Men and women","5-9","2007",155
"Mental retardation (F70-F79)","Men and women","5-9","2008",142
"Mental retardation (F70-F79)","Men and women","5-9","2009",87
"Mental retardation (F70-F79)","Men and women","5-9","2010",106
"Mental retardation (F70-F79)","Men and women","5-9","2011",139
"Mental retardation (F70-F79)","Men and women","5-9","2012",157
"Mental retardation (F70-F79)","Men and women","5-9","2013",172
"Mental retardation (F70-F79)","Men and women","5-9","2014",120
"Mental retardation (F70-F79)","Men and women","5-9","2015",131
"Mental retardation (F70-F79)","Men and women","5-9","2016",100
"Mental retardation (F70-F79)","Men and women","5-9","2017",91
"Mental retardation (F70-F79)","Men and women","5-9","2018",66
"Mental retardation (F70-F79)","Men and women","5-9","2019",78
"Mental retardation (F70-F79)","Men and women","5-9","2020",77
"Mental retardation (F70-F79)","Men and women","5-9","2021",94
"Mental retardation (F70-F79)","Men and women","5-9","2022",92
"Mental retardation (F70-F79)","Men and women","5-9","2023",110
"Mental retardation (F70-F79)","Men and women","5-9","2024",101
"Mental retardation (F70-F79)","Men and women","10-14","1998",219
"Mental retardation (F70-F79)","Men and women","10-14","1999",180
"Mental retardation (F70-F79)","Men and women","10-14","2000",267
"Mental retardation (F70-F79)","Men and women","10-14","2001",221
"Mental retardation (F70-F79)","Men and women","10-14","2002",263
"Mental retardation (F70-F79)","Men and women","10-14","2003",250
"Mental retardation (F70-F79)","Men and women","10-14","2004",138
"Mental retardation (F70-F79)","Men and women","10-14","2005",140
"Mental retardation (F70-F79)","Men and women","10-14","2006",137
"Mental retardation (F70-F79)","Men and women","10-14","2007",143
"Mental retardation (F70-F79)","Men and women","10-14","2008",135
"Mental retardation (F70-F79)","Men and women","10-14","2009",102
"Mental retardation (F70-F79)","Men and women","10-14","2010",116
"Mental retardation (F70-F79)","Men and women","10-14","2011",119
"Mental retardation (F70-F79)","Men and women","10-14","2012",175
"Mental retardation (F70-F79)","Men and women","10-14","2013",161
"Mental retardation (F70-F79)","Men and women","10-14","2014",145
"Mental retardation (F70-F79)","Men and women","10-14","2015",72
"Mental retardation (F70-F79)","Men and women","10-14","2016",56
"Mental retardation (F70-F79)","Men and women","10-14","2017",45
"Mental retardation (F70-F79)","Men and women","10-14","2018",52
"Mental retardation (F70-F79)","Men and women","10-14","2019",70
"Mental retardation (F70-F79)","Men and women","10-14","2020",74
"Mental retardation (F70-F79)","Men and women","10-14","2021",77
"Mental retardation (F70-F79)","Men and women","10-14","2022",72
"Mental retardation (F70-F79)","Men and women","10-14","2023",71
"Mental retardation (F70-F79)","Men and women","10-14","2024",76
"Mental retardation (F70-F79)","Men and women","15-19","1998",174
"Mental retardation (F70-F79)","Men and women","15-19","1999",198
"Mental retardation (F70-F79)","Men and women","15-19","2000",203
"Mental retardation (F70-F79)","Men and women","15-19","2001",209
"Mental retardation (F70-F79)","Men and women","15-19","2002",194
"Mental retardation (F70-F79)","Men and women","15-19","2003",186
"Mental retardation (F70-F79)","Men and women","15-19","2004",121
"Mental retardation (F70-F79)","Men and women","15-19","2005",106
"Mental retardation (F70-F79)","Men and women","15-19","2006",115
"Mental retardation (F70-F79)","Men and women","15-19","2007",83
"Mental retardation (F70-F79)","Men and women","15-19","2008",93
"Mental retardation (F70-F79)","Men and women","15-19","2009",83
"Mental retardation (F70-F79)","Men and women","15-19","2010",74
"Mental retardation (F70-F79)","Men and women","15-19","2011",62
"Mental retardation (F70-F79)","Men and women","15-19","2012",70
"Mental retardation (F70-F79)","Men and women","15-19","2013",80
"Mental retardation (F70-F79)","Men and women","15-19","2014",83
"Mental retardation (F70-F79)","Men and women","15-19","2015",58
"Mental retardation (F70-F79)","Men and women","15-19","2016",48
"Mental retardation (F70-F79)","Men and women","15-19","2017",61
"Mental retardation (F70-F79)","Men and women","15-19","2018",42
"Mental retardation (F70-F79)","Men and women","15-19","2019",51
"Mental retardation (F70-F79)","Men and women","15-19","2020",72
"Mental retardation (F70-F79)","Men and women","15-19","2021",59
"Mental retardation (F70-F79)","Men and women","15-19","2022",76
"Mental retardation (F70-F79)","Men and women","15-19","2023",54
"Mental retardation (F70-F79)","Men and women","15-19","2024",66
"Mental retardation (F70-F79)","Men and women","20-24","1998",42
"Mental retardation (F70-F79)","Men and women","20-24","1999",59
"Mental retardation (F70-F79)","Men and women","20-24","2000",63
"Mental retardation (F70-F79)","Men and women","20-24","2001",47
"Mental retardation (F70-F79)","Men and women","20-24","2002",75
"Mental retardation (F70-F79)","Men and women","20-24","2003",80
"Mental retardation (F70-F79)","Men and women","20-24","2004",43
"Mental retardation (F70-F79)","Men and women","20-24","2005",43
"Mental retardation (F70-F79)","Men and women","20-24","2006",56
"Mental retardation (F70-F79)","Men and women","20-24","2007",36
"Mental retardation (F70-F79)","Men and women","20-24","2008",35
"Mental retardation (F70-F79)","Men and women","20-24","2009",42
"Mental retardation (F70-F79)","Men and women","20-24","2010",72
"Mental retardation (F70-F79)","Men and women","20-24","2011",53
"Mental retardation (F70-F79)","Men and women","20-24","2012",67
"Mental retardation (F70-F79)","Men and women","20-24","2013",50
"Mental retardation (F70-F79)","Men and women","20-24","2014",60
"Mental retardation (F70-F79)","Men and women","20-24","2015",48
"Mental retardation (F70-F79)","Men and women","20-24","2016",46
"Mental retardation (F70-F79)","Men and women","20-24","2017",35
"Mental retardation (F70-F79)","Men and women","20-24","2018",42
"Mental retardation (F70-F79)","Men and women","20-24","2019",40
"Mental retardation (F70-F79)","Men and women","20-24","2020",52
"Mental retardation (F70-F79)","Men and women","20-24","2021",57
"Mental retardation (F70-F79)","Men and women","20-24","2022",76
"Mental retardation (F70-F79)","Men and women","20-24","2023",44
"Mental retardation (F70-F79)","Men and women","20-24","2024",56
"Mental retardation (F70-F79)","Men and women","25-34","1998",31
"Mental retardation (F70-F79)","Men and women","25-34","1999",37
"Mental retardation (F70-F79)","Men and women","25-34","2000",50
"Mental retardation (F70-F79)","Men and women","25-34","2001",81
"Mental retardation (F70-F79)","Men and women","25-34","2002",52
"Mental retardation (F70-F79)","Men and women","25-34","2003",86
"Mental retardation (F70-F79)","Men and women","25-34","2004",33
"Mental retardation (F70-F79)","Men and women","25-34","2005",50
"Mental retardation (F70-F79)","Men and women","25-34","2006",53
